Fecha_Sistema,Hora_Sistema,Timestamp_MS,Muestra,Recolector,Temp1_C,Hum1_RH,Temp2_C,Hum2_RH,Radiacion_W_m2,Termopar1_C,Termopar2_C,Termopar3_C,Termopar4_C,Termopar5_C,Termopar6_C,Fan1,Fan2,Fan3,Masa_g
2026-01-13,12:57:28,519283,Ejemplo,KAlev,25.7,48.82,20.59,57.49,1100.0,18.69,14.66,17.47,21.94,19.94,20.06,False,True,False,0.000
2026-01-13,12:57:29,520283,Ejemplo,KAlev,25.42,48.81,20.39,57.05,1100.0,18.84,14.47,17.64,21.75,19.94,19.94,False,True,False,0.000
2026-01-13,12:57:30,521284,Ejemplo,KAlev,25.19,48.93,20.23,56.55,1100.0,18.65,14.49,17.81,21.77,20.09,19.76,True,False,True,0.000
2026-01-13,12:57:31,522284,Ejemplo,KAlev,25.46,49.08,20.16,56.82,1100.0,18.62,14.6,17.97,21.95,19.97,19.89,True,True,False,0.000
2026-01-13,12:57:32,523285,Ejemplo,KAlev,25.47,49.34,20.42,56.39,1096.15,18.53,14.66,17.81,22.01,19.83,19.89,True,False,False,0.000
2026-01-13,12:57:33,524285,Ejemplo,KAlev,25.66,49.71,20.55,56.01,1099.01,18.48,14.77,17.96,21.94,19.85,19.91,True,False,True,0.000
2026-01-13,12:57:34,525286,Ejemplo,KAlev,25.59,49.75,20.55,55.54,1100.0,18.3,14.82,17.93,22.05,20.0,19.79,False,False,True,0.848
2026-01-13,12:57:35,526286,Ejemplo,KAlev,25.82,49.69,20.75,55.47,1100.0,18.2,14.76,17.86,21.95,20.09,19.82,False,True,False,0.897
2026-01-13,12:57:36,527286,Ejemplo,KAlev,25.7,49.68,20.85,55.59,1096.69,18.04,14.71,17.67,22.12,20.04,19.68,False,False,True,0.900
2026-01-13,12:57:37,528287,Ejemplo,KAlev,25.45,49.91,20.75,55.44,1100.0,18.11,14.8,17.86,21.95,19.94,19.85,True,False,False,0.901
2026-01-13,12:57:38,529287,Ejemplo,KAlev,25.45,49.5,20.47,54.99,1097.24,18.2,14.73,17.78,22.14,20.03,19.8,False,True,False,0.901
2026-01-13,12:57:39,530288,Ejemplo,KAlev,25.33,49.89,20.18,55.44,1100.0,18.25,14.62,17.68,22.2,20.11,19.74,False,False,False,0.901
2026-01-13,12:57:40,531288,Ejemplo,KAlev,25.09,50.19,19.99,55.06,1100.0,18.05,14.75,17.71,22.3,20.27,19.79,True,False,False,0.901
2026-01-13,12:57:41,532289,Ejemplo,KAlev,25.19,50.49,19.78,55.28,1100.0,18.2,14.62,17.89,22.31,20.15,19.65,False,False,False,0.901
2026-01-13,12:57:42,533289,Ejemplo,KAlev,25.09,50.68,19.48,55.07,1100.0,18.03,14.47,18.04,22.4,20.21,19.61,True,True,True,0.901
2026-01-13,12:57:43,534290,Ejemplo,KAlev,24.96,50.6,19.74,55.06,1100.0,17.89,14.32,18.04,22.57,20.35,19.56,False,True,True,0.901
2026-01-13,12:57:44,535290,Ejemplo,KAlev,25.04,50.9,19.54,55.4,1100.0,18.04,14.22,17.91,22.46,20.44,19.58,False,True,False,0.901
2026-01-13,12:57:45,536291,Ejemplo,KAlev,24.98,50.91,19.41,55.39,1100.0,18.21,14.14,17.72,22.61,20.38,19.7,False,False,True,0.901
2026-01-13,12:57:46,537291,Ejemplo,KAlev,24.73,50.43,19.43,55.57,1100.0,18.31,14.17,17.79,22.56,20.26,19.64,True,True,False,0.902
2026-01-13,12:57:47,538292,Ejemplo,KAlev,24.9,50.01,19.21,55.6,1100.0,18.45,14.04,17.96,22.74,20.24,19.73,False,True,True,0.902
2026-01-13,12:57:48,539292,Ejemplo,KAlev,25.08,50.34,19.35,55.6,1097.53,18.64,14.06,18.05,22.72,20.34,19.58,False,False,False,0.902
2026-01-13,12:57:49,540292,Ejemplo,KAlev,25.11,50.69,19.28,55.51,1100.0,18.46,14.23,17.85,22.55,20.51,19.44,True,False,True,0.902
2026-01-13,12:57:50,541293,Ejemplo,KAlev,24.92,51.15,19.1,55.37,1100.0,18.56,14.14,17.88,22.56,20.37,19.33,True,False,True,0.902
2026-01-13,12:57:51,542293,Ejemplo,KAlev,24.79,51.28,19.32,55.15,1099.01,18.4,14.29,17.78,22.71,20.4,19.46,True,True,True,0.902
2026-01-13,12:57:52,543294,Ejemplo,KAlev,24.61,51.64,19.56,55.02,1095.54,18.3,14.11,17.84,22.78,20.31,19.61,True,True,True,0.902
2026-01-13,12:57:53,544294,Ejemplo,KAlev,24.33,51.65,19.74,54.82,1100.0,18.38,14.17,17.96,22.91,20.51,19.64,True,True,False,0.902
2026-01-13,12:57:54,545295,Ejemplo,KAlev,24.16,51.65,19.91,54.47,1100.0,18.3,14.34,17.99,22.86,20.65,19.81,False,True,True,0.902
2026-01-13,12:57:55,546295,Ejemplo,KAlev,23.91,51.67,19.68,54.3,1100.0,18.28,14.21,17.93,22.73,20.8,19.84,True,False,False,0.902
2026-01-13,12:57:56,547296,Ejemplo,KAlev,23.91,51.79,19.81,54.14,1097.12,18.41,14.11,18.11,22.54,20.91,19.75,True,False,False,0.902
2026-01-13,12:57:57,548296,Ejemplo,KAlev,24.04,51.35,19.81,54.47,1100.0,18.23,14.24,18.15,22.39,20.9,19.56,False,False,True,0.902
2026-01-13,12:57:58,549297,Ejemplo,KAlev,24.18,51.34,19.82,54.38,1100.0,18.18,14.36,18.05,22.34,20.87,19.54,True,False,False,0.902
