Fecha_Sistema,Hora_Sistema,Timestamp_MS,Muestra,Recolector,Temp1_C,Hum1_RH,Temp2_C,Hum2_RH,Radiacion_W_m2,Termopar1_C,Termopar2_C,Fan1,Fan2,Fan3,Masa_g
2026-01-08,14:21:58,1767903718723,Manzana,kalev,21.39,51.03,16.07,48.58,132.7,18.68,16.03,False,False,True,0.0
2026-01-08,14:21:59,1767903719724,Manzana,kalev,21.37,51.18,16.17,48.88,130.2,18.82,15.88,False,True,True,0.0
2026-01-08,14:22:00,1767903720724,Manzana,kalev,21.12,51.54,16.32,49.07,127.68,18.91,16.05,False,True,False,0.0
2026-01-08,14:22:01,1767903721725,Manzana,kalev,21.34,52.03,16.43,49.0,126.28,19.07,15.89,False,True,False,0.0
2026-01-08,14:22:02,1767903722726,Manzana,kalev,21.3,52.2,16.38,48.91,129.89,18.89,15.84,False,True,False,0.0
2026-01-08,14:22:03,1767903723726,Manzana,kalev,21.43,51.9,16.25,49.17,133.21,18.85,15.94,False,True,True,0.119
2026-01-08,14:22:04,1767903724727,Manzana,kalev,21.2,52.12,16.02,49.51,133.62,18.77,15.88,True,True,True,0.56
2026-01-08,14:22:05,1767903725727,Manzana,kalev,21.28,51.68,16.15,49.41,132.75,18.59,15.88,False,True,False,0.561
2026-01-08,14:22:06,1767903726728,Manzana,kalev,20.98,51.33,16.1,48.98,136.71,18.79,16.06,False,True,True,0.561
2026-01-08,14:22:07,1767903727728,Manzana,kalev,20.96,51.8,16.12,49.27,138.29,18.84,16.16,True,False,True,0.561
2026-01-08,14:22:08,1767903728729,Manzana,kalev,21.07,52.2,16.3,48.94,139.66,19.0,16.13,False,True,False,0.561
2026-01-08,14:22:09,1767903729730,Manzana,kalev,21.13,52.18,16.04,48.52,135.88,18.92,16.19,False,True,False,0.561
2026-01-08,14:22:10,1767903730730,Manzana,kalev,20.99,52.49,15.94,48.19,132.65,19.12,16.33,True,False,True,0.561
2026-01-08,14:22:11,1767903731731,Manzana,kalev,21.08,52.17,15.77,48.57,131.45,19.25,16.19,True,False,True,0.576
2026-01-08,14:22:12,1767903732732,Manzana,kalev,20.87,52.13,15.75,48.69,131.71,19.19,16.02,False,True,False,0.021
2026-01-08,14:22:13,1767903733732,Manzana,kalev,20.92,51.9,16.02,48.57,128.35,19.01,16.15,True,True,True,0.0
2026-01-08,14:22:14,1767903734733,Manzana,kalev,20.64,51.78,16.06,48.6,125.42,18.93,16.02,True,False,False,0.0
2026-01-08,14:22:15,1767903735734,Manzana,kalev,20.72,51.74,16.09,48.39,123.75,18.74,16.1,False,True,True,0.0
2026-01-08,14:22:16,1767903736734,Manzana,kalev,20.74,51.4,16.06,48.16,127.63,18.61,15.93,True,True,False,0.207
2026-01-08,14:22:17,1767903737735,Manzana,kalev,20.75,51.48,15.85,48.36,128.51,18.53,15.87,False,False,True,0.563
