Fecha_Sistema,Hora_Sistema,Timestamp_MS,Muestra,Recolector,Temp1_C,Hum1_RH,Temp2_C,Hum2_RH,Radiacion_W_m2,Termopar1_C,Termopar2_C,Fan1,Fan2,Fan3,Masa_g
2026-01-08,14:26:30,1767903989893,Manzana,uri,22.72,44.63,22.4,50.45,184.35,22.56,15.37,False,False,True,-0.009
2026-01-08,14:26:31,1767903990893,Manzana,uri,22.74,44.39,22.5,50.09,181.28,22.62,15.22,False,True,True,-0.009
2026-01-08,14:26:32,1767903991894,Manzana,uri,22.88,43.99,22.76,50.48,181.55,22.79,15.39,True,True,False,-0.009
2026-01-08,14:26:33,1767903992894,Manzana,uri,23.15,44.39,22.68,50.8,184.81,22.88,15.52,False,True,True,-0.009
2026-01-08,14:26:34,1767903993895,Manzana,uri,23.0,44.84,22.4,51.16,189.69,23.05,15.51,False,True,True,-0.009
2026-01-08,14:26:35,1767903994896,Manzana,uri,23.03,44.39,22.67,51.22,185.99,23.05,15.44,False,True,False,-0.009
2026-01-08,14:26:36,1767903995897,Manzana,uri,23.05,44.11,22.68,51.13,183.81,22.93,15.33,False,False,True,-0.009
2026-01-08,14:26:37,1767903996897,Manzana,uri,22.78,44.16,22.58,50.83,184.97,23.08,15.14,False,False,True,0.0
2026-01-08,14:26:38,1767903997898,Manzana,uri,22.84,43.99,22.51,50.7,184.36,23.16,15.24,False,False,True,0.0
2026-01-08,14:26:39,1767903998898,Manzana,uri,22.85,43.86,22.22,50.32,180.47,23.16,15.05,True,True,True,0.0
2026-01-08,14:26:40,1767903999899,Manzana,uri,23.01,43.81,22.12,50.31,184.36,23.22,15.2,False,True,False,0.0
2026-01-08,14:26:41,1767904000900,Manzana,uri,22.81,44.09,21.91,50.04,181.64,23.03,15.06,False,True,False,0.0
2026-01-08,14:26:42,1767904001900,Manzana,uri,22.93,44.36,21.88,49.59,178.63,23.02,14.98,True,True,False,0.0
2026-01-08,14:26:43,1767904002901,Manzana,uri,23.2,44.57,21.87,49.96,181.49,23.05,14.87,False,True,True,0.005
2026-01-08,14:26:44,1767904003901,Manzana,uri,22.97,44.6,21.96,50.3,182.66,23.23,14.73,True,True,False,0.557
2026-01-08,14:26:45,1767904004902,Manzana,uri,23.18,44.63,21.87,49.93,180.54,23.28,14.92,False,False,False,0.557
2026-01-08,14:26:46,1767904005903,Manzana,uri,23.12,44.36,22.04,50.2,185.26,23.41,15.09,False,False,True,0.557
2026-01-08,14:26:47,1767904006903,Manzana,uri,22.96,44.17,21.92,50.26,185.89,23.56,15.17,True,True,True,0.557
2026-01-08,14:26:48,1767904007904,Manzana,uri,23.13,44.11,21.71,49.82,182.73,23.52,15.05,True,True,False,0.557
2026-01-08,14:26:49,1767904008904,Manzana,uri,23.24,44.24,21.87,49.32,182.22,23.32,14.89,False,True,True,0.557
2026-01-08,14:26:50,1767904009905,Manzana,uri,23.49,44.3,22.08,49.8,183.59,23.32,14.87,False,True,False,0.559
2026-01-08,14:26:51,1767904010906,Manzana,uri,23.5,44.54,22.21,49.81,185.8,23.21,14.85,True,False,True,0.352
2026-01-08,14:26:52,1767904011906,Manzana,uri,23.36,44.66,22.45,49.42,186.12,23.37,14.82,True,False,True,0.0
2026-01-08,14:26:53,1767904012907,Manzana,uri,23.12,44.26,22.45,49.44,187.85,23.5,14.63,True,True,True,0.0
2026-01-08,14:26:54,1767904013907,Manzana,uri,23.08,44.69,22.22,49.64,185.36,23.32,14.74,False,True,False,0.0
2026-01-08,14:26:55,1767904014908,Manzana,uri,23.01,44.65,22.19,49.78,184.95,23.21,14.84,False,True,False,0.231
2026-01-08,14:26:56,1767904015908,Manzana,uri,22.93,44.35,22.16,49.46,187.54,23.39,14.98,False,True,False,0.558
2026-01-08,14:26:57,1767904016909,Manzana,uri,23.09,43.95,22.25,49.44,184.46,23.37,14.81,False,True,True,0.557
2026-01-08,14:26:58,1767904017910,Manzana,uri,23.34,44.17,22.27,49.72,185.46,23.55,14.95,False,True,True,0.56
2026-01-08,14:26:59,1767904018910,Manzana,uri,23.41,43.75,22.06,49.59,185.11,23.7,14.79,True,False,True,0.102
2026-01-08,14:27:00,1767904019911,Manzana,uri,23.13,43.85,21.91,49.25,182.74,23.88,14.77,False,False,True,0.0
2026-01-08,14:27:01,1767904020911,Manzana,uri,23.07,44.15,21.93,48.8,183.64,23.93,14.9,False,True,True,0.0
2026-01-08,14:27:02,1767904021912,Manzana,uri,22.9,43.87,22.16,48.33,182.37,24.07,14.91,True,False,True,14.537
2026-01-08,14:27:03,1767904022913,Manzana,uri,22.85,44.23,22.33,48.11,181.4,24.19,14.93,True,False,False,14.537
2026-01-08,14:27:04,1767904023913,Manzana,uri,22.58,44.69,22.55,47.88,179.38,24.19,15.03,True,False,False,14.537
2026-01-08,14:27:05,1767904024914,Manzana,uri,22.76,44.87,22.34,47.85,179.82,24.3,15.18,False,True,True,14.537
2026-01-08,14:27:06,1767904025914,Manzana,uri,22.73,45.27,22.4,47.95,175.51,24.33,15.28,False,False,True,14.537
2026-01-08,14:27:07,1767904026915,Manzana,uri,22.9,45.45,22.31,47.73,178.65,24.4,15.32,False,False,True,14.537
2026-01-08,14:27:08,1767904027916,Manzana,uri,22.74,45.8,22.48,47.5,181.1,24.37,15.38,True,True,False,14.537
2026-01-08,14:27:09,1767904028916,Manzana,uri,22.9,45.59,22.3,47.2,183.05,24.54,15.44,False,False,True,14.537
2026-01-08,14:27:10,1767904029917,Manzana,uri,22.96,45.18,22.18,47.26,185.48,24.46,15.48,True,True,False,14.536
