Fecha_Sistema,Hora_Sistema,Timestamp_MS,Muestra,Recolector,Temp1_C,Hum1_RH,Temp2_C,Hum2_RH,Radiacion_W_m2,Termopar1_C,Termopar2_C,Termopar3_C,Termopar4_C,Termopar5_C,Termopar6_C,Fan1,Fan2,Fan3,Masa_g
2026-01-13,14:09:35,4846594,Omarcito,Omarcito,34.54,70.68,19.86,55.36,1100.0,30.1,15.46,8.3,19.64,22.83,29.88,False,True,False,0.000
2026-01-13,14:09:36,4847594,Omarcito,Omarcito,34.61,70.38,19.87,54.94,1100.0,30.11,15.45,8.16,19.51,22.67,29.84,False,False,True,0.000
2026-01-13,14:09:37,4848596,Omarcito,Omarcito,34.59,70.77,20.05,54.9,1097.77,29.93,15.46,8.24,19.67,22.71,29.78,True,False,True,0.000
2026-01-13,14:09:38,4849596,Omarcito,Omarcito,34.57,70.35,19.98,54.45,1098.56,29.87,15.63,8.17,19.69,22.78,29.77,False,False,False,0.000
2026-01-13,14:09:39,4850597,Omarcito,Omarcito,34.51,70.69,19.97,54.11,1100.0,29.78,15.49,8.33,19.89,22.96,29.65,False,False,True,0.000
2026-01-13,14:09:40,4851598,Omarcito,Omarcito,34.3,70.86,19.87,53.64,1100.0,29.83,15.32,8.49,20.03,22.8,29.75,False,False,False,0.000
2026-01-13,14:09:41,4852599,Omarcito,Omarcito,34.01,71.28,19.92,53.42,1100.0,29.97,15.48,8.63,20.03,22.79,29.65,True,False,True,0.000
2026-01-13,14:09:42,4853600,Omarcito,Omarcito,34.21,70.99,19.75,53.16,1100.0,30.0,15.61,8.64,20.0,22.78,29.82,True,True,False,0.000
2026-01-13,14:09:43,4854602,Omarcito,Omarcito,34.5,71.03,19.64,52.97,1100.0,30.06,15.66,8.69,20.17,22.78,29.91,False,True,True,0.000
2026-01-13,14:09:44,4855603,Omarcito,Omarcito,34.44,70.91,19.55,52.86,1097.27,29.9,15.78,8.7,19.97,22.67,29.89,False,False,True,0.000
2026-01-13,14:09:45,4856604,Omarcito,Omarcito,34.68,70.9,19.3,53.32,1100.0,30.05,15.83,8.68,19.86,22.86,29.88,False,True,True,0.000
2026-01-13,14:09:46,4857604,Omarcito,Omarcito,34.75,71.13,19.5,53.4,1100.0,30.09,15.75,8.77,19.72,22.87,29.99,True,True,False,0.000
2026-01-13,14:09:47,4858605,Omarcito,Omarcito,34.82,70.76,19.79,53.81,1100.0,30.22,15.65,8.6,19.65,22.73,30.15,True,True,False,0.000
2026-01-13,14:09:48,4859606,Omarcito,Omarcito,34.57,71.02,20.06,53.75,1100.0,30.28,15.73,8.61,19.78,22.54,30.24,False,False,True,0.000
2026-01-13,14:09:49,4860608,Omarcito,Omarcito,34.8,70.56,19.87,53.88,1100.0,30.41,15.54,8.73,19.69,22.53,30.26,True,True,False,0.000
2026-01-13,14:09:50,4861609,Omarcito,Omarcito,34.96,70.2,20.05,53.84,1100.0,30.57,15.68,8.78,19.67,22.4,30.38,True,True,True,0.000
2026-01-13,14:09:51,4862610,Omarcito,Omarcito,34.87,69.88,20.31,53.88,1095.04,30.62,15.69,8.94,19.75,22.4,30.43,True,True,True,0.000
2026-01-13,14:09:52,4863611,Omarcito,Omarcito,34.75,69.76,20.61,53.59,1098.16,30.79,15.66,9.07,19.67,22.37,30.32,False,False,False,0.000
2026-01-13,14:09:53,4864612,Omarcito,Omarcito,34.95,70.05,20.35,53.73,1100.0,30.8,15.84,8.92,19.66,22.23,30.51,False,True,True,0.000
2026-01-13,14:09:54,4865613,Omarcito,Omarcito,34.83,70.28,20.6,54.19,1100.0,30.9,16.02,8.88,19.75,22.17,30.63,False,False,False,0.000
2026-01-13,14:09:55,4866613,Omarcito,Omarcito,35.04,70.27,20.48,54.62,1098.25,30.73,16.07,8.83,19.56,22.32,30.78,True,False,True,0.000
2026-01-13,14:09:56,4867614,Omarcito,Omarcito,35.1,70.07,20.61,54.93,1100.0,30.65,16.26,8.8,19.45,22.18,30.97,True,True,True,0.000
2026-01-13,14:09:57,4868614,Omarcito,Omarcito,34.99,69.58,20.34,55.25,1100.0,30.79,16.2,8.68,19.28,22.13,30.83,True,False,False,0.000
2026-01-13,14:09:58,4869615,Omarcito,Omarcito,34.74,69.59,20.59,54.92,1100.0,30.73,16.29,8.5,19.41,22.27,30.75,True,True,True,0.000
2026-01-13,14:09:59,4870616,Omarcito,Omarcito,34.61,69.99,20.68,54.91,1100.0,30.78,16.14,8.7,19.23,22.35,30.87,False,False,True,0.000
2026-01-13,14:10:00,4871616,Omarcito,Omarcito,34.83,69.99,20.62,54.92,1100.0,30.91,16.15,8.65,19.41,22.43,30.99,True,True,True,0.000
2026-01-13,14:10:01,4872617,Omarcito,Omarcito,34.91,69.95,20.68,54.92,1097.91,30.81,16.28,8.82,19.39,22.61,30.92,True,True,True,0.000
2026-01-13,14:10:02,4873618,Omarcito,Omarcito,35.03,70.16,20.74,55.29,1100.0,30.74,16.38,8.82,19.41,22.65,30.8,False,True,False,0.000
2026-01-13,14:10:03,4874619,Omarcito,Omarcito,35.04,70.46,20.5,55.61,1100.0,30.83,16.33,8.65,19.23,22.53,30.97,True,False,False,0.000
