Fecha_Sistema,Hora_Sistema,Timestamp_MS,Muestra,Recolector,Temp1_C,Hum1_RH,Temp2_C,Hum2_RH,Radiacion_W_m2,Termopar1_C,Termopar2_C,Fan1,Fan2,Fan3,Masa_g
2026-01-08,14:36:03,1767904563293,Prueba,kalev,26.63,44.78,16.93,46.51,212.52,22.88,16.98,True,True,False,0.000
2026-01-08,14:36:04,1767904564293,Prueba,kalev,26.9,44.55,16.83,46.18,213.2,23.03,16.84,True,False,True,0.000
2026-01-08,14:36:05,1767904565294,Prueba,kalev,27.15,44.65,17.02,46.16,214.49,23.06,17.01,False,False,True,0.000
2026-01-08,14:36:06,1767904566295,Prueba,kalev,27.14,44.45,17.02,46.42,211.66,23.22,17.01,True,False,False,0.000
2026-01-08,14:36:07,1767904567295,Prueba,kalev,26.86,44.55,17.06,46.72,209.71,23.23,17.2,False,True,False,0.000
2026-01-08,14:36:08,1767904568296,Prueba,kalev,26.72,44.58,16.95,46.66,210.97,23.23,17.03,True,True,True,0.000
2026-01-08,14:36:09,1767904569296,Prueba,kalev,26.56,44.1,17.05,46.64,215.48,23.24,17.06,True,True,True,0.291
2026-01-08,14:36:10,1767904570297,Prueba,kalev,26.36,44.31,16.93,46.24,218.84,23.4,16.96,True,True,False,0.550
2026-01-08,14:36:11,1767904571298,Prueba,kalev,26.27,44.09,16.83,46.08,219.88,23.3,17.15,False,True,True,0.550
2026-01-08,14:36:12,1767904572298,Prueba,kalev,26.33,43.89,16.85,45.89,216.45,23.29,17.21,False,True,True,0.550
2026-01-08,14:36:13,1767904573299,Prueba,kalev,26.17,43.9,16.96,46.2,214.37,23.41,17.24,True,False,True,0.550
2026-01-08,14:36:14,1767904574300,Prueba,kalev,26.21,44.07,17.0,45.91,211.65,23.44,17.13,False,False,False,0.550
2026-01-08,14:36:15,1767904575300,Prueba,kalev,26.13,43.84,16.97,45.87,211.34,23.47,17.28,True,False,False,0.550
2026-01-08,14:36:16,1767904576301,Prueba,kalev,26.31,43.9,16.95,45.99,215.81,23.34,17.26,False,False,False,0.550
2026-01-08,14:36:17,1767904577301,Prueba,kalev,26.47,43.91,16.73,45.7,212.25,23.26,17.07,False,True,True,0.551
2026-01-08,14:36:18,1767904578302,Prueba,kalev,26.29,43.86,16.89,45.27,213.16,23.43,17.02,False,True,False,0.595
2026-01-08,14:36:19,1767904579303,Prueba,kalev,26.15,43.73,17.01,44.88,210.47,23.48,17.0,True,True,True,0.549
2026-01-08,14:36:20,1767904580303,Prueba,kalev,26.34,43.96,16.79,45.22,206.69,23.39,16.9,True,True,False,0.550
2026-01-08,14:36:21,1767904581304,Prueba,kalev,26.12,44.11,16.6,44.76,203.48,23.47,16.91,False,False,False,0.550
2026-01-08,14:36:22,1767904582305,Prueba,kalev,26.14,44.36,16.81,44.68,204.72,23.43,16.72,True,False,False,0.550
2026-01-08,14:36:23,1767904583305,Prueba,kalev,26.39,44.79,17.05,44.52,205.12,23.28,16.72,False,True,True,0.550
2026-01-08,14:36:24,1767904584306,Prueba,kalev,26.41,45.23,17.35,44.35,203.5,23.28,16.73,False,False,True,0.550
2026-01-08,14:36:25,1767904585306,Prueba,kalev,26.34,44.92,17.41,44.04,203.98,23.11,16.83,False,False,True,0.549
2026-01-08,14:36:26,1767904586307,Prueba,kalev,26.21,45.32,17.65,44.54,207.95,23.24,16.89,False,False,False,0.647
2026-01-08,14:36:27,1767904587308,Prueba,kalev,26.18,45.71,17.35,44.72,210.95,23.18,16.86,True,False,True,0.751
2026-01-08,14:36:28,1767904588308,Prueba,kalev,26.37,46.02,17.33,45.15,212.06,23.3,16.84,False,True,True,0.229
2026-01-08,14:36:29,1767904589309,Prueba,kalev,26.63,46.52,17.23,44.71,208.82,23.39,16.67,True,True,False,0.000
2026-01-08,14:36:30,1767904590310,Prueba,kalev,26.53,46.21,17.13,44.24,212.23,23.37,16.66,False,True,True,0.000
2026-01-08,14:36:31,1767904591310,Prueba,kalev,26.78,46.42,16.97,43.89,209.38,23.29,16.83,True,True,True,0.000
2026-01-08,14:36:32,1767904592311,Prueba,kalev,26.66,46.33,16.89,43.51,211.45,23.44,16.96,False,True,False,0.000
2026-01-08,14:36:33,1767904593312,Prueba,kalev,26.51,45.95,16.63,43.67,211.36,23.35,16.89,False,True,True,0.000
2026-01-08,14:36:34,1767904594312,Prueba,kalev,26.21,45.85,16.54,43.4,215.38,23.15,16.77,False,False,True,4.755
2026-01-08,14:36:35,1767904595313,Prueba,kalev,26.4,45.39,16.64,43.25,216.96,22.95,16.91,False,True,True,14.452
2026-01-08,14:36:36,1767904596313,Prueba,kalev,26.46,45.5,16.36,43.42,214.45,22.78,16.8,True,True,True,14.452
2026-01-08,14:36:37,1767904597314,Prueba,kalev,26.51,45.36,16.14,43.57,213.25,22.94,16.77,False,True,True,14.452
2026-01-08,14:36:38,1767904598315,Prueba,kalev,26.51,45.01,16.29,43.5,213.9,23.11,16.58,True,False,True,14.452
2026-01-08,14:36:39,1767904599315,Prueba,kalev,26.62,45.39,16.1,43.08,212.23,23.04,16.72,False,False,True,14.452
2026-01-08,14:36:40,1767904600316,Prueba,kalev,26.49,45.41,16.19,43.07,208.71,23.08,16.85,True,True,False,14.452
2026-01-08,14:36:41,1767904601316,Prueba,kalev,26.58,45.37,16.28,42.81,205.14,22.91,16.67,False,True,True,14.452
2026-01-08,14:36:42,1767904602317,Prueba,kalev,26.39,45.21,16.51,42.34,207.82,22.75,16.6,False,True,True,14.452
2026-01-08,14:36:43,1767904603317,Prueba,kalev,26.69,45.6,16.39,42.18,206.25,22.82,16.76,False,False,False,14.451
2026-01-08,14:36:44,1767904604318,Prueba,kalev,26.55,45.14,16.35,41.81,210.07,22.63,16.88,True,False,True,1.342
2026-01-08,14:36:45,1767904605319,Prueba,kalev,26.32,44.73,16.09,42.04,209.81,22.74,16.76,False,True,True,0.000
