Fecha_Sistema,Hora_Sistema,Timestamp_MS,Muestra,Recolector,Temp1_C,Hum1_RH,Temp2_C,Hum2_RH,Radiacion_W_m2,Termopar1_C,Termopar2_C,Termopar3_C,Termopar4_C,Termopar5_C,Termopar6_C,Fan1,Fan2,Fan3,Masa_g
2026-01-13,13:24:35,2147144,bote,kalev,37.7,49.49,23.24,44.08,1100.0,27.17,14.2,11.91,20.67,16.16,22.29,False,True,True,9.683
2026-01-13,13:24:36,2148145,bote,kalev,37.78,49.88,23.28,44.22,1100.0,27.1,14.39,11.79,20.79,16.15,22.28,False,True,True,9.683
2026-01-13,13:24:37,2149145,bote,kalev,37.9,50.08,23.39,43.75,1100.0,27.1,14.22,11.77,20.64,16.2,22.27,False,False,True,9.683
2026-01-13,13:24:38,2150146,bote,kalev,38.16,50.41,23.52,44.02,1100.0,27.23,14.31,11.67,20.48,16.24,22.09,True,True,False,9.683
2026-01-13,13:24:39,2151146,bote,kalev,38.21,50.41,23.41,43.52,1100.0,27.09,14.24,11.63,20.63,16.22,21.9,False,True,True,9.683
2026-01-13,13:24:40,2152147,bote,kalev,38.01,50.53,23.59,43.77,1100.0,27.12,14.24,11.74,20.77,16.15,21.88,True,True,False,9.683
2026-01-13,13:24:41,2153147,bote,kalev,37.77,50.23,23.79,44.23,1100.0,26.92,14.28,11.69,20.63,15.95,21.8,False,True,True,9.683
2026-01-13,13:24:42,2154148,bote,kalev,37.59,50.31,24.0,44.05,1100.0,26.82,14.2,11.64,20.75,15.99,21.8,False,True,True,9.683
2026-01-13,13:24:43,2155148,bote,kalev,37.7,50.36,24.03,43.58,1095.01,26.73,14.15,11.66,20.56,15.97,21.6,False,True,False,9.683
2026-01-13,13:24:44,2156149,bote,kalev,37.56,50.4,24.29,43.45,1100.0,26.7,14.16,11.55,20.52,16.15,21.54,True,False,True,9.683
2026-01-13,13:24:45,2157149,bote,kalev,37.68,50.76,24.2,43.3,1100.0,26.84,14.09,11.44,20.69,15.97,21.69,True,False,False,9.683
2026-01-13,13:24:46,2158150,bote,kalev,37.43,51.14,24.49,42.88,1096.58,26.71,14.03,11.46,20.56,15.87,21.78,False,True,True,1.397
2026-01-13,13:24:47,2159150,bote,kalev,37.48,51.46,24.46,42.77,1100.0,26.75,14.15,11.46,20.49,16.02,21.95,True,True,False,0.000
2026-01-13,13:24:48,2160150,bote,kalev,37.27,51.75,24.28,42.35,1100.0,26.56,13.96,11.61,20.43,16.06,21.81,True,False,True,9.681
2026-01-13,13:24:49,2161151,bote,kalev,37.26,52.02,24.32,41.86,1100.0,26.44,13.78,11.49,20.61,15.94,21.82,True,False,True,5.961
2026-01-13,13:24:50,2162151,bote,kalev,37.02,52.26,24.56,41.42,1100.0,26.43,13.77,11.48,20.53,15.89,21.88,True,False,True,0.000
2026-01-13,13:24:51,2163152,bote,kalev,36.99,52.59,24.38,41.04,1099.03,26.51,13.79,11.36,20.61,16.04,22.03,False,False,True,2.145
2026-01-13,13:24:52,2164152,bote,kalev,36.75,53.08,24.56,41.38,1100.0,26.63,13.8,11.18,20.72,15.92,21.93,True,False,False,9.687
2026-01-13,13:24:53,2165153,bote,kalev,36.97,52.95,24.48,41.4,1100.0,26.66,13.65,11.3,20.9,16.05,22.11,False,True,False,0.081
2026-01-13,13:24:54,2166153,bote,kalev,37.05,52.98,24.41,41.77,1099.1,26.83,13.83,11.41,20.91,16.03,21.96,False,True,True,1.272
2026-01-13,13:24:55,2167154,bote,kalev,37.08,53.46,24.35,41.73,1095.88,26.86,13.87,11.41,20.8,16.15,21.78,True,False,True,9.403
2026-01-13,13:24:56,2168154,bote,kalev,37.34,53.71,24.5,41.98,1100.0,26.94,13.97,11.27,20.86,16.3,21.71,True,True,False,2.318
2026-01-13,13:24:57,2169154,bote,kalev,37.33,53.3,24.76,42.12,1097.65,26.75,13.82,11.45,21.03,16.2,21.53,False,False,False,9.680
2026-01-13,13:24:58,2170155,bote,kalev,37.36,53.6,24.92,42.19,1100.0,26.57,13.62,11.6,20.98,16.26,21.62,True,False,False,9.681
2026-01-13,13:24:59,2171155,bote,kalev,37.25,54.05,24.72,42.08,1095.91,26.5,13.63,11.8,21.05,16.3,21.42,False,False,True,9.682
2026-01-13,13:25:00,2172156,bote,kalev,37.47,54.31,24.87,42.39,1097.8,26.64,13.49,11.88,20.88,16.21,21.53,True,False,True,9.682
2026-01-13,13:25:01,2173156,bote,kalev,37.49,54.72,24.98,42.3,1098.76,26.56,13.51,12.07,20.89,16.34,21.6,False,False,True,9.682
2026-01-13,13:25:02,2174157,bote,kalev,37.69,55.03,25.09,42.33,1095.31,26.73,13.41,12.27,20.76,16.2,21.65,True,True,True,9.682
2026-01-13,13:25:03,2175157,bote,kalev,37.97,54.92,24.91,42.46,1098.87,26.61,13.53,12.41,20.79,16.18,21.53,True,True,False,9.682
2026-01-13,13:25:04,2176158,bote,kalev,38.16,54.42,24.67,42.63,1100.0,26.56,13.67,12.34,20.84,16.29,21.63,True,False,False,9.682
2026-01-13,13:25:05,2177158,bote,kalev,38.09,54.73,24.42,43.12,1100.0,26.57,13.59,12.27,20.83,16.36,21.82,True,False,False,9.682
2026-01-13,13:25:06,2178159,bote,kalev,37.92,54.34,24.22,43.04,1095.06,26.63,13.45,12.42,20.96,16.26,21.84,True,True,True,9.682
