Fecha_Sistema,Hora_Sistema,Timestamp_MS,Muestra,Recolector,Temp1_C,Hum1_RH,Temp2_C,Hum2_RH,Radiacion_W_m2,Termopar1_C,Termopar2_C,Fan1,Fan2,Fan3,Masa_g
2026-01-08,16:02:57,1767909777151,pera,kal,19.0,58.75,15.87,59.64,88.23,24.3,21.64,True,True,True,3.499
2026-01-08,16:03:00,1767909780154,pera,kal,19.05,58.8,15.6,60.21,86.23,24.11,21.51,False,False,True,3.501
2026-01-08,16:03:03,1767909783156,pera,kal,18.96,58.26,15.29,60.12,87.29,24.09,21.45,False,False,False,3.501
2026-01-08,16:03:06,1767909786158,pera,kal,18.97,58.94,15.08,59.94,88.71,24.35,20.99,False,True,True,1.999
2026-01-08,16:03:09,1767909789160,pera,kal,18.6,58.46,15.68,59.16,79.28,24.4,20.98,False,False,True,1.591
2026-01-08,16:03:12,1767909792162,pera,kal,19.09,58.31,15.49,59.36,81.88,24.39,21.17,True,True,True,1.322
2026-01-08,16:03:15,1767909795164,pera,kal,19.3,57.9,15.39,59.23,93.15,24.5,20.9,False,True,False,1.175
2026-01-08,16:03:18,1767909798167,pera,kal,19.26,56.82,15.68,59.26,93.53,24.31,20.95,False,False,True,5.804
2026-01-08,16:03:21,1767909801169,pera,kal,18.76,55.74,15.15,59.06,102.62,24.45,21.07,True,True,False,0.489
2026-01-08,16:03:24,1767909804171,pera,kal,18.39,54.76,15.27,59.7,108.74,24.43,20.94,True,False,True,0.489
2026-01-08,16:03:27,1767909807173,pera,kal,18.37,55.43,15.0,59.82,107.03,24.79,21.21,True,False,False,0.489
2026-01-08,16:03:30,1767909810174,pera,kal,18.07,55.42,15.0,59.26,106.57,24.9,21.08,False,True,True,0.590
2026-01-08,16:03:33,1767909813177,pera,kal,17.95,55.41,15.28,58.94,98.06,25.2,20.88,False,False,True,1.198
2026-01-08,16:03:36,1767909816179,pera,kal,18.25,55.28,15.0,58.27,98.81,25.47,20.77,False,True,False,1.429
2026-01-08,16:03:39,1767909819181,pera,kal,18.14,55.69,15.54,58.49,98.17,25.75,20.92,True,True,False,1.429
2026-01-08,16:03:42,1767909822183,pera,kal,18.53,55.24,15.74,58.25,91.14,25.93,21.01,True,True,True,1.931
2026-01-08,16:03:45,1767909825185,pera,kal,18.2,54.72,15.75,58.31,93.01,25.7,20.74,False,False,True,1.931
2026-01-08,16:03:48,1767909828187,pera,kal,18.05,54.77,15.39,58.39,90.97,25.69,20.39,False,True,True,1.931
2026-01-08,16:03:51,1767909831189,pera,kal,18.39,54.66,15.14,58.44,80.26,25.69,20.22,True,True,True,1.931
2026-01-08,16:03:54,1767909834191,pera,kal,18.13,54.77,15.0,58.25,78.37,25.94,20.37,True,True,True,2.291
